n,p030,p040,p045,p048,p049
233,2.825120701318769,4.2079278721414575,6.893283534508854,14.702665491225,27.250616505919364
234,2.825120701318769,4.2079278721414575,6.893283534519756,14.70270248838565,27.255132128129237
235,2.825120701318769,4.207927872141458,6.893283534529568,14.702738005656297,27.259557423109786
236,2.8251207013187685,4.2079278721414575,6.893283534538398,14.702772102232823,27.263894197995846
237,2.8251207013187685,4.2079278721414575,6.893283534546345,14.702804834943253,27.268144223755893
238,2.825120701318769,4.2079278721414575,6.893283534553497,14.702836258342467,27.272309235916325
239,2.8251207013187685,4.2079278721414575,6.893283534559933,14.702866424803135,27.276390935271234
240,2.8251207013187685,4.2079278721414575,6.893283534565727,14.702895384602998,27.280390988577928
241,2.8251207013187685,4.2079278721414575,6.893283534570942,14.702923186008679,27.284311029238484
242,2.8251207013187685,4.207927872141458,6.893283534575635,14.702949875356111,27.288152657967693
243,2.8251207013187685,4.207927872141458,6.893283534579856,14.702975497127786,27.291917443447556
244,2.8251207013187685,4.207927872141459,6.893283534583658,14.703000094026882,27.295606922968695
245,2.8251207013187685,4.207927872141459,6.893283534587078,14.70302370704843,27.299222603058894
246,2.8251207013187685,4.207927872141459,6.893283534590156,14.703046375547663,27.30276596009903
247,2.8251207013187685,4.207927872141459,6.8932835345929275,14.703068137305584,27.306238440926684
248,2.8251207013187685,4.207927872141459,6.8932835345954215,14.70308902859195,27.309641463427642
249,2.8251207013187685,4.20792787214146,6.893283534597665,14.703109084225723,27.312976417115497
250,2.825120701318769,4.207927872141459,6.893283534599686,14.703128337633093,27.316244663699706
